Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2025-01-22,"$3,321","$3,351","$3,255","$3,298","$3,264",-1.72,"$7,542,778,899",-8.28,"$393,336,849,715",-1.71
2025-01-21,"$3,275","$3,360","$3,213","$3,292","$3,321",1.42,"$8,223,438,960",-54.88,"$400,188,690,670",1.46
2025-01-20,"$3,211","$3,422","$3,168","$3,269","$3,273",1.94,"$18,226,455,020",4.98,"$394,443,903,366",1.77
2025-01-19,"$3,305","$3,439","$3,135","$3,274","$3,216",-2.68,"$17,362,190,950",82.84,"$387,593,700,825",-2.79
2025-01-18,"$3,477","$3,486","$3,237","$3,377","$3,309",-4.85,"$9,495,943,443",22.26,"$398,730,099,471",-4.89
2025-01-17,"$3,308","$3,522","$3,308","$3,405","$3,479",5.16,"$7,767,201,283",3.72,"$419,240,893,747",5.16
2025-01-16,"$3,449","$3,449","$3,274","$3,370","$3,308",-4.09,"$7,488,744,135",0.570,"$398,653,592,910",-3.87
2025-01-15,"$3,225","$3,467","$3,188","$3,330","$3,442",6.73,"$7,446,284,926",11.43,"$414,711,622,491",6.72
2025-01-14,"$3,131","$3,250","$3,129","$3,184","$3,225",2.99,"$6,682,260,917",-44.96,"$388,588,077,088",2.99
2025-01-13,"$3,264","$3,328","$2,968","$3,173","$3,131",-4.07,"$12,141,466,729",288.22,"$377,301,964,475",-4.04
2025-01-12,"$3,283","$3,295","$3,228","$3,267","$3,263",-0.595,"$3,127,503,938",-5.41,"$393,192,297,143",-0.614
2025-01-11,"$3,269","$3,315","$3,223","$3,273","$3,283",0.438,"$3,306,209,566",-57.74,"$395,623,133,080",0.411
2025-01-10,"$3,222","$3,317","$3,205","$3,253","$3,270",1.51,"$7,822,706,562",-10.71,"$394,001,860,640",1.68
2025-01-09,"$3,325","$3,354","$3,170","$3,266","$3,216",-3.26,"$8,760,924,932",-12.44,"$387,491,358,350",-3.43
2025-01-08,"$3,380","$3,412","$3,229","$3,338","$3,330",-1.48,"$10,005,823,906",5.02,"$401,235,525,878",-1.49
2025-01-07,"$3,687","$3,699","$3,365","$3,533","$3,381",-8.31,"$9,527,948,904",34.38,"$407,292,792,699",-8.31
2025-01-06,"$3,637","$3,737","$3,614","$3,669","$3,687",1.36,"$7,090,264,604",120.29,"$444,193,077,891",1.35
2025-01-05,"$3,659","$3,667","$3,599","$3,641","$3,638",-0.562,"$3,218,584,590",-26.04,"$438,283,039,240",-0.597
2025-01-04,"$3,606","$3,665","$3,576","$3,627","$3,660",1.51,"$4,351,637,109",-32.03,"$440,917,140,954",1.53
2025-01-03,"$3,449","$3,622","$3,425","$3,525","$3,605",4.51,"$6,402,500,964",5.36,"$434,271,510,506",4.55
2025-01-02,"$3,353","$3,487","$3,351","$3,410","$3,448",2.82,"$6,076,899,615",60.57,"$415,356,540,346",2.91
2025-01-01,"$3,334","$3,363","$3,312","$3,340","$3,350",0.487,"$3,784,598,375",-36.35,"$403,625,916,306",0.504
2024-12-31,"$3,357","$3,434","$3,314","$3,360","$3,334",-0.693,"$5,945,542,469",-19.79,"$401,603,467,685",-0.703
2024-12-30,"$3,355","$3,422","$3,304","$3,360","$3,357",0.0579,"$7,412,098,784",151.47,"$404,448,388,225",0.0287
2024-12-29,"$3,398","$3,404","$3,326","$3,371","$3,356",-1.23,"$2,947,519,613",-8.27,"$404,332,411,336",-1.20
2024-12-28,"$3,329","$3,405","$3,322","$3,363","$3,397",2.05,"$3,213,171,376",-48.82,"$409,261,559,997",2.17
2024-12-27,"$3,332","$3,427","$3,305","$3,347","$3,325",-0.204,"$6,278,627,712",3.28,"$400,556,747,448",-0.0957
2024-12-26,"$3,493","$3,505","$3,307","$3,408","$3,328",-4.71,"$6,079,440,374",30.52,"$400,940,435,616",-4.70
2024-12-25,"$3,492","$3,532","$3,442","$3,490","$3,493",0.0193,"$4,657,893,674",-30.07,"$420,732,321,458",0.0181
2024-12-24,"$3,414","$3,522","$3,364","$3,448","$3,492",2.29,"$6,660,807,858",-33.79,"$420,656,272,417",2.31
2024-12-23,"$3,278","$3,453","$3,226","$3,343","$3,413",4.12,"$10,059,552,118",66.14,"$411,163,736,994",4.11
2024-12-22,"$3,335","$3,397","$3,230","$3,310","$3,279",-1.69,"$6,054,708,157",,"$394,929,435,597",
